Day;Day Time;Hungry;Fatigue,Social;Morale
24;Night;0,2568;0,80385;0,4;0,6
24;BeforeMorning;0,4966437;0,1135223;0,3399269;0,6
24;Morning;0,1344038;0,1865715;0,3559269;0,6
24;Afternoon;0,3413632;0,3714343;0,3222786;0,6
24;Evening;0,6312909;0,644778;0,2640289;0,6
24;Night;0,0425504;0,7690446;0,380029;0,6
26;BeforeMorning;0,3152223;0,005284572;0,3200314;0,6
26;Morning;0;0,06981608;0,3360315;0,6
26;Afternoon;0,2017557;0,2460965;0,3057487;0,6
26;Evening;0,4848011;0,5083731;0,2527035;0,6
26;Night;0,07250677;0,6324486;0,4227036;0,6
28;BeforeMorning;0,3372267;0;0,3655427;0,6
28;Morning;0;0,06621258;0,3815427;0,6
28;Afternoon;0,2025395;0,2434256;0,351279;0,6
28;Evening;0,4866189;0,5069361;0,2982281;0,6
28;Night;0,07281984;0,6322336;0,4682282;0,6
30;BeforeMorning;0,3391349;0;0,4110309;0,6
30;Morning;0;0,06699134;0,427031;0,6
30;Afternoon;0,2034979;0,2451411;0,3967473;0,6
30;Evening;0,4888288;0,5099041;0,3436287;0,6
30;Night;0,07319393;0,6364381;0,5136288;0,6
1;BeforeMorning;0,3413818;0;0,4563308;0,6
1;Morning;0;0,06778248;0,4723308;0,6
1;Afternoon;0,204453;0,2468651;0,4420273;0,6
1;Evening;0,4910309;0,5128757;0,388841;0,6
1;Night;0,0735667;0,6406413;0,5588411;0,6
3;BeforeMorning;0,3436205;0;0,5014428;0,6
3;Morning;0;0,06857038;0,5174426;0,6
3;Afternoon;0,2054041;0,2485821;0,4871192;0,6
3;Evening;0,4932239;0,5158347;0,4338655;0,6
3;Night;0,07393792;0,6448272;0,6038655;0,6
5;BeforeMorning;0,3458501;0;0,5463671;0,6
5;Morning;0;0,06935503;0,5623669;0,6
5;Afternoon;0,2063512;0,2502919;0,5320238;0,6
5;Evening;0,4954077;0,5187817;0,478703;0,6
5;Night;0,07430758;0,6489957;0,6487028;0,6
7;BeforeMorning;0,3480703;0;0,5911049;0,6
7;Morning;0;0,0701364;0,6071047;0,6
7;Afternoon;0,2072944;0,2519946;0,5767419;0,6
7;Evening;0,4975825;0,5217163;0,5233543;0,6
7;Night;0,07467572;0,6531466;0,6933538;0,6
9;BeforeMorning;0,3506911;0;0,633963;0,6
9;Morning;0;0,07090717;0,6499628;0,6
9;Afternoon;0,2081989;0,253648;0,6195811;0,6
9;Evening;0,4996679;0,52455;0,5661292;0,6
9;Night;0,0750287;0,6571458;0,7361287;0,6
11;BeforeMorning;0,352408;0;0,6783344;0,6
11;Morning;0;0,0716603;0,6943342;0,6
11;Afternoon;0,2091335;0,2553149;0,663933;0,6
11;Evening;0,5018228;0,5274387;0,6104152;0,6
11;Night;0,07539353;0,6612407;0,7804146;0,6
13;BeforeMorning;0,3549882;0;0,7208284;0,6
13;Morning;0;0,0724237;0,7368282;0,6
13;Afternoon;0,2100302;0,2569534;0,7064083;0,6
13;Evening;0,5038905;0,5302474;0,6528265;0,6
13;Night;0,07574349;0,6652051;0,822826;0,6
15;BeforeMorning;0,3567181;0;0,7648349;0,6
15;Morning;0;0,07317187;0,7808347;0,6
15;Afternoon;0,2109572;0,2586078;0,7503955;0,6
15;Evening;0,5060279;0,5331137;0,6967484;0,6
15;Night;0,07610533;0,6692677;0,8667479;0,6
17;BeforeMorning;0,3589002;0;0,8086575;0,6
17;Morning;0;0,07393759;0,8246573;0,6
17;Afternoon;0,2175769;0,2670319;0,7923955;0,6
17;Evening;0,5141532;0,5431343;0,7384502;0,6
17;Night;0,07655467;0,6806829;0,9084497;0,6
19;BeforeMorning;0,3619073;0;0,848459;0,6
19;Morning;0,001642354;0,07467919;0,8644588;0,6
19;Afternoon;0,2143661;0,2619357;0,8339539;0,6
19;Evening;0,5117477;0,5388667;0,7801382;0,6
19;Night;0,07679763;0,6773619;0,9501377;0,6
21;BeforeMorning;0,3630731;0;0,8918526;0,6
21;Morning;0,003113784;0,07539263;0,9078524;0,6
21;Afternoon;0,2224478;0,2703867;0,8754961;0,6
21;Evening;0,5213269;0,5490118;0,8213448;0,6
21;Night;0,07724597;0,6889505;0,9913443;0,6
23;BeforeMorning;0,3660646;0;0,9311537;0,6
23;Morning;0,006382532;0,07612591;0,9471535;0,6
23;Afternoon;0,2208546;0,2653693;0,9165304;0,6
23;Evening;0,520532;0,5449305;0,8624666;0,6
23;Night;0,0774759;0,6858571;1;0,6
25;BeforeMorning;0,3660887;0;0,9415333;0,6
25;Morning;0,006479748;0,0762851;0,9575331;0,6
25;Afternoon;0,2211698;0,265748;0,9269038;0,6
25;Evening;0,5211323;0,5456021;0,8728223;0,6
25;Night;0,07754803;0,6868013;1;0,6
27;BeforeMorning;0,366225;0;0,9415168;0,6
